종목,수량,매수가,현재가,수익률(%),수익금액($),52주 최저가($),52주 최고가($),박스권 위치(%),추천 매수가($),추천 매도가($),종합평가,볼린저 위치,볼린저 평가,MACD 값,MACD 평가,RSI,RSI 평가,CCI,CCI 평가,ADX,ADX 평가,Williams %R,Williams 평가,Stochastic %K,Stochastic %D,Stochastic 평가
SPY,25,508.62,545.33,7.22,36.71,481.80,611.39,49.02,507.72,585.47,매도 (1:1:7),62.08,중립,2.60,약매수,52.28,중립,30.80,중립,31.72,하락추세,-4.93,과매수,95.07,76.13,과매수반전
SCHD,2301,25.01,25.70,2.74,0.69,23.87,29.18,34.45,24.93,28.12,매수 (4:1:3),44.03,중립,0.05,약매수,42.99,중립,-26.54,중립,31.24,하락추세,-24.69,중립,75.31,52.47,상승추세
O,1,56.69,57.33,1.12,0.64,48.42,63.08,60.76,51.35,60.15,매도 (2:2:6),64.42,중립,0.28,강매수,51.02,중립,58.20,중립,13.98,약한추세,-19.03,과매수,80.97,88.80,과매수하락
JEPQ,948,49.05,50.49,2.94,1.44,44.29,57.43,47.18,46.92,54.80,매도 (1:1:7),63.60,중립,0.26,약매수,53.43,중립,40.78,중립,33.88,하락추세,-5.63,과매수,94.37,77.36,과매수반전
BIL,921,91.51,91.66,0.17,0.15,87.44,91.67,99.79,88.29,90.82,"매도 (7:0:17) - 모멘텀 지표 매도신호, 강한상승추세",86.70,매도,0.00,강매수,100.00,과매수,119.37,과매수,100.00,강한상승,-4.45,과매수,95.55,97.00,과매수하락
SGOV,12,100.57,100.62,0.05,0.05,95.91,100.62,100.00,96.85,99.68,"매도 (7:0:12) - 모멘텀 지표 매도신호, 강한상승추세",90.10,매도,0.00,강매수,100.00,과매수,123.79,과매수,100.00,강한상승,-0.00,과매수,100.00,98.61,과매수반전
TLT,210,87.03,88.08,1.21,1.05,83.84,99.21,27.59,86.91,96.13,매수 (4:1:3),40.78,중립,-0.15,강매도,37.22,중립,-33.65,중립,20.55,하락추세,-66.12,중립,33.88,25.23,상승추세
TLTW,600,23.20,23.33,0.56,0.13,21.45,24.94,53.74,22.15,24.25,매도 (4:1:7) - 강한하락추세,46.18,중립,-0.02,강매도,38.96,중립,-16.54,중립,26.48,하락추세,-51.49,중립,48.51,39.67,상승추세
TOPT,1,23.53,23.42,-0.47,-0.11,20.39,27.01,45.76,21.71,25.69,매도 (1:1:7),62.32,중립,0.11,약매수,53.22,중립,34.30,중립,30.93,하락추세,-12.68,과매수,87.32,72.24,과매수반전
GLD,1,284.10,306.38,7.84,22.28,210.71,317.63,89.48,232.09,296.25,매수 (7:0:5) - 강한상승추세,76.98,중립,1.24,강매수,63.24,중립,85.05,중립,31.94,상승추세,-24.97,중립,75.03,76.51,하락추세
URNM,1,33.86,34.06,0.59,0.20,27.60,58.51,20.90,33.78,52.33,"매도 (6:1:10) - 모멘텀 지표 매도신호, 강한상승추세",94.22,매도,0.48,약매수,59.62,중립,141.03,과매수,30.73,상승추세,-0.76,과매수,99.24,83.79,과매수반전
VST,1,128.36,124.71,-2.84,-3.65,66.12,199.50,43.93,92.79,172.82,매도 (1:1:11) - 모멘텀 지표 매도신호,84.95,매도,2.10,약매수,61.15,중립,116.55,과매수,14.08,약한추세,-2.50,과매수,97.50,80.41,과매수반전
TEM,1,51.09,51.84,1.48,0.76,22.89,91.45,42.23,36.60,77.74,매도 (2:1:10) - 모멘텀 지표 매도신호,93.09,매도,1.23,약매수,57.84,중립,123.51,과매수,20.05,상승추세,-0.69,과매수,99.31,79.44,과매수반전
TSLA,40,252.09,255.65,1.41,3.56,157.51,488.54,29.65,223.72,422.33,보유 (2:3:2),55.11,중립,1.86,약매수,46.62,중립,14.91,중립,19.00,약한추세,-31.50,중립,68.50,53.61,상승추세
NVDA,74,109.52,106.14,-3.09,-3.38,78.20,153.12,37.30,93.18,138.13,매도 (2:2:4),53.32,중립,0.29,약매수,53.26,중립,2.12,중립,27.14,하락추세,-31.46,중립,68.54,56.04,상승추세
AAPL,1,205.77,206.65,0.43,0.88,165.43,259.81,43.68,184.31,240.94,매도 (1:2:5),57.78,중립,1.98,약매수,51.63,중립,20.07,중립,24.45,하락추세,-14.37,과매수,85.63,73.70,과매수반전
PLTR,51,96.06,105.56,9.89,9.50,20.50,125.41,81.07,41.48,104.43,매도 (2:1:11) - 모멘텀 지표 매도신호,102.54,매도,1.85,강매수,66.52,중립,167.89,과매수,13.41,약한추세,-0.16,과매수,99.84,92.27,과매수반전
UVIX,194,57.53,47.28,-17.81,-10.25,25.85,199.70,12.33,60.62,164.93,매수 (7:1:1),38.07,중립,-1.98,약매도,48.24,중립,-40.05,중립,33.58,상승추세,-95.29,과매도,4.71,14.82,과매도하락
VIXY,1,48.26,64.75,34.16,16.49,39.56,90.08,49.86,49.66,79.98,매수 (6:2:1),48.61,중립,-0.91,약매도,52.26,중립,-1.81,중립,39.08,상승추세,-89.60,과매도,10.40,32.84,과매도하락
TQQQ,171,48.94,51.69,5.62,2.75,35.00,93.20,28.67,46.64,81.56,매도 (1:2:6),57.90,중립,0.98,약매수,51.30,중립,15.73,중립,34.60,하락추세,-9.37,과매수,90.63,66.11,과매수반전
QQQ,11,450.27,465.75,3.44,15.48,402.39,540.00,46.04,429.91,512.48,매도 (1:1:7),68.01,중립,2.92,약매수,54.29,중립,51.72,중립,31.03,하락추세,-3.18,과매수,96.82,77.03,과매수반전
