종목,수량,매수가,현재가,수익률(%),수익금액($),52주 최저가($),52주 최고가($),박스권 위치(%),추천 매수가($),추천 매도가($),종합평가,볼린저 위치,볼린저 평가,MACD 값,MACD 평가,RSI,RSI 평가,CCI,CCI 평가,ADX,ADX 평가,Williams %R,Williams 평가,Stochastic %K,Stochastic %D,Stochastic 평가
SPY,25,508.62,542.13,6.59,33.51,481.80,611.39,46.55,507.72,585.47,매도 (1:2:6),58.41,중립,2.40,약매수,51.46,중립,23.73,중립,31.72,하락추세,-9.71,과매수,90.29,74.54,과매수반전
SCHD,2301,25.01,25.58,2.24,0.56,23.87,29.18,32.10,24.93,28.12,매수 (4:1:3),41.52,중립,0.04,약매수,42.01,중립,-30.81,중립,31.24,하락추세,-29.82,중립,70.18,50.76,상승추세
O,1,56.69,57.42,1.28,0.73,48.42,63.08,61.37,51.35,60.15,매도 (2:2:6),65.58,중립,0.29,강매수,51.38,중립,59.48,중립,13.98,약한추세,-17.93,과매수,82.07,89.17,과매수하락
JEPQ,948,49.05,50.28,2.51,1.23,44.29,57.43,45.57,46.92,54.80,매도 (1:1:7),60.86,중립,0.25,약매수,52.83,중립,35.62,중립,33.97,하락추세,-8.86,과매수,91.14,76.29,과매수반전
BIL,921,91.51,91.67,0.17,0.16,87.44,91.67,99.88,88.29,90.82,"매도 (7:0:17) - 모멘텀 지표 매도신호, 강한상승추세",87.59,매도,0.00,강매수,100.00,과매수,120.32,과매수,100.00,강한상승,-2.50,과매수,97.50,97.65,과매수하락
SGOV,12,100.57,100.61,0.04,0.04,95.91,100.62,99.79,96.85,99.68,"매도 (7:0:17) - 모멘텀 지표 매도신호, 강한상승추세",88.07,매도,0.00,강매수,100.00,과매수,121.61,과매수,100.00,강한상승,-4.55,과매수,95.45,97.10,과매수하락
TLT,210,87.03,87.91,1.01,0.88,83.84,99.21,26.48,86.91,96.13,매수 (5:0:3),38.78,중립,-0.16,강매도,36.49,중립,-34.61,중립,20.55,하락추세,-67.99,중립,32.01,24.61,상승추세
TLTW,600,23.20,23.31,0.48,0.11,21.45,24.94,53.17,22.15,24.25,매도 (4:1:7) - 강한하락추세,45.01,중립,-0.02,강매도,38.56,중립,-17.75,중립,26.48,하락추세,-52.55,중립,47.45,39.31,상승추세
TOPT,1,23.53,23.32,-0.90,-0.21,20.39,27.01,44.22,21.71,25.69,매도 (1:2:6),59.64,중립,0.11,약매수,52.65,중립,29.26,중립,30.94,하락추세,-15.62,과매수,84.38,71.26,과매수반전
GLD,1,284.10,306.75,7.97,22.66,210.71,317.63,89.83,232.09,296.25,매수 (7:0:5) - 강한상승추세,77.66,중립,1.26,강매수,63.42,중립,85.76,중립,31.94,상승추세,-24.15,중립,75.85,76.78,하락추세
URNM,1,33.86,33.77,-0.27,-0.09,27.60,58.51,19.96,33.78,52.33,"매도 (6:1:10) - 모멘텀 지표 매도신호, 강한상승추세",90.50,매도,0.46,약매수,58.70,중립,131.16,과매수,30.52,상승추세,-0.63,과매수,99.37,83.83,과매수반전
VST,1,128.36,122.34,-4.69,-6.02,66.12,199.50,42.15,92.79,172.82,매도 (1:2:9) - 모멘텀 지표 매도신호,78.23,중립,1.95,약매수,59.86,중립,102.77,과매수,14.08,약한추세,-9.24,과매수,90.76,78.16,과매수반전
TEM,1,51.09,51.13,0.09,0.05,22.89,91.45,41.19,36.60,77.74,매도 (2:1:10) - 모멘텀 지표 매도신호,89.64,매도,1.19,약매수,57.00,중립,118.92,과매수,20.02,상승추세,-4.29,과매수,95.71,78.24,과매수반전
TSLA,40,252.09,255.34,1.29,3.25,157.51,488.54,29.55,223.72,422.33,보유 (2:3:2),54.66,중립,1.84,약매수,46.53,중립,14.32,중립,19.00,약한추세,-32.01,중립,67.99,53.44,상승추세
NVDA,74,109.52,104.97,-4.16,-4.55,78.20,153.12,35.74,93.18,138.13,보유 (3:2:3),48.80,중립,0.21,약매수,52.42,중립,-5.87,중립,27.26,하락추세,-35.57,중립,64.43,54.67,상승추세
AAPL,1,205.77,205.74,-0.02,-0.03,165.43,259.81,42.70,184.31,240.94,매도 (1:2:5),56.26,중립,1.92,약매수,51.21,중립,18.18,중립,24.45,하락추세,-16.47,과매수,83.53,73.00,과매수반전
PLTR,51,96.06,104.37,8.66,8.31,20.50,125.41,79.94,41.48,104.43,매도 (2:1:11) - 모멘텀 지표 매도신호,99.75,매도,1.78,강매수,65.92,중립,164.34,과매수,13.41,약한추세,-3.16,과매수,96.84,91.27,과매수반전
UVIX,194,57.53,48.46,-15.76,-9.07,25.85,199.70,13.01,60.62,164.93,매수 (7:1:1),39.87,중립,-1.91,약매도,48.62,중립,-37.24,중립,33.58,상승추세,-93.35,과매도,6.65,15.47,과매도하락
VIXY,1,48.26,65.54,35.81,17.28,39.56,90.08,51.44,49.66,79.98,매수 (5:2:2),50.37,중립,-0.86,약매도,52.76,중립,0.91,중립,39.09,상승추세,-86.68,과매도,13.32,33.81,과매도하락
TQQQ,171,48.94,50.70,3.60,1.76,35.00,93.20,26.97,46.64,81.56,매도 (1:2:6),54.46,중립,0.92,약매수,50.38,중립,9.01,중립,34.74,하락추세,-14.72,과매수,85.28,64.33,과매수반전
QQQ,11,450.27,462.66,2.75,12.39,402.39,540.00,43.80,429.91,512.48,매도 (1:1:7),64.10,중립,2.73,약매수,53.48,중립,43.94,중립,31.18,하락추세,-7.90,과매수,92.10,75.45,과매수반전
