종목,수량,매수가,현재가,수익률(%),수익금액($),52주 최저가($),52주 최고가($),박스권 위치(%),추천 매수가($),추천 매도가($),종합평가,볼린저 위치,볼린저 평가,MACD 값,MACD 평가,RSI,RSI 평가,CCI,CCI 평가,ADX,ADX 평가,Williams %R,Williams 평가,Stochastic %K,Stochastic %D,Stochastic 평가
SPY,25,508.62,542.47,6.66,33.85,481.80,611.39,46.82,507.72,585.47,매도 (1:2:6),58.80,중립,2.42,약매수,51.55,중립,24.96,중립,31.72,하락추세,-9.20,과매수,90.80,74.71,과매수반전
SCHD,2301,25.01,25.58,2.26,0.57,23.87,29.18,32.19,24.93,28.12,매수 (4:1:3),41.62,중립,0.04,약매수,42.05,중립,-30.08,중립,31.24,하락추세,-29.63,중립,70.37,50.83,상승추세
O,1,56.69,57.46,1.35,0.77,48.42,63.08,61.65,51.35,60.15,매도 (2:2:6),66.10,중립,0.29,강매수,51.54,중립,60.05,중립,13.98,약한추세,-17.44,과매수,82.56,89.33,과매수하락
JEPQ,948,49.05,50.30,2.55,1.25,44.29,57.43,45.72,46.92,54.80,매도 (1:1:7),61.12,중립,0.25,약매수,52.89,중립,36.31,중립,33.95,하락추세,-8.55,과매수,91.45,76.39,과매수반전
BIL,921,91.51,91.67,0.17,0.16,87.44,91.67,99.88,88.29,90.82,"매도 (7:0:17) - 모멘텀 지표 매도신호, 강한상승추세",87.59,매도,0.00,강매수,100.00,과매수,120.32,과매수,100.00,강한상승,-2.50,과매수,97.50,97.65,과매수하락
SGOV,12,100.57,100.62,0.05,0.05,95.91,100.62,99.93,96.85,99.68,"매도 (7:0:12) - 모멘텀 지표 매도신호, 강한상승추세",89.42,매도,0.00,강매수,100.00,과매수,123.05,과매수,100.00,강한상승,-1.55,과매수,98.45,98.10,과매수반전
TLT,210,87.03,87.96,1.07,0.93,83.84,99.21,26.81,86.91,96.13,매수 (5:0:3),39.37,중립,-0.15,강매도,36.71,중립,-34.81,중립,20.55,하락추세,-67.44,중립,32.56,24.79,상승추세
TLTW,600,23.20,23.32,0.50,0.12,21.45,24.94,53.31,22.15,24.25,매도 (4:1:7) - 강한하락추세,45.31,중립,-0.02,강매도,38.66,중립,-17.45,중립,26.48,하락추세,-52.28,중립,47.72,39.40,상승추세
TOPT,1,23.53,23.32,-0.87,-0.21,20.39,27.01,44.31,21.71,25.69,매도 (1:2:6),59.81,중립,0.11,약매수,52.68,중립,30.57,중립,30.94,하락추세,-15.43,과매수,84.57,71.32,과매수반전
GLD,1,284.10,306.77,7.98,22.67,210.71,317.63,89.84,232.09,296.25,매수 (7:0:5) - 강한상승추세,77.69,중립,1.26,강매수,63.43,중립,85.79,중립,31.94,상승추세,-24.11,중립,75.89,76.80,하락추세
URNM,1,33.86,33.78,-0.24,-0.08,27.60,58.51,19.99,33.78,52.33,"매도 (6:1:10) - 모멘텀 지표 매도신호, 강한상승추세",90.63,매도,0.46,약매수,58.73,중립,134.18,과매수,30.64,상승추세,-3.12,과매수,96.88,83.00,과매수반전
VST,1,128.36,121.79,-5.11,-6.57,66.12,199.50,41.74,92.79,172.82,매도 (1:2:9) - 모멘텀 지표 매도신호,76.61,중립,1.91,약매수,59.55,중립,100.80,과매수,14.08,약한추세,-10.81,과매수,89.19,77.64,과매수반전
TEM,1,51.09,51.13,0.09,0.04,22.89,91.45,41.19,36.60,77.74,매도 (2:1:10) - 모멘텀 지표 매도신호,89.63,매도,1.19,약매수,57.00,중립,118.91,과매수,20.02,상승추세,-4.30,과매수,95.70,78.23,과매수반전
TSLA,40,252.09,254.52,0.97,2.43,157.51,488.54,29.31,223.72,422.33,보유 (2:3:2),53.46,중립,1.79,약매수,46.27,중립,12.75,중립,19.00,약한추세,-33.36,중립,66.64,52.99,상승추세
NVDA,74,109.52,105.40,-3.76,-4.12,78.20,153.12,36.32,93.18,138.13,보유 (3:2:3),50.48,중립,0.24,약매수,52.74,중립,-2.17,중립,27.19,하락추세,-34.04,중립,65.96,55.18,상승추세
AAPL,1,205.77,205.96,0.09,0.19,165.43,259.81,42.94,184.31,240.94,매도 (1:2:5),56.63,중립,1.93,약매수,51.32,중립,18.60,중립,24.45,하락추세,-15.96,과매수,84.04,73.17,과매수반전
PLTR,51,96.06,104.58,8.87,8.52,20.50,125.41,80.14,41.48,104.43,매도 (2:1:11) - 모멘텀 지표 매도신호,100.26,매도,1.79,강매수,66.03,중립,164.97,과매수,13.41,약한추세,-2.63,과매수,97.37,91.45,과매수반전
UVIX,194,57.53,48.23,-16.16,-9.30,25.85,199.70,12.87,60.62,164.93,매수 (7:1:1),39.52,중립,-1.92,약매도,48.55,중립,-37.64,중립,33.58,상승추세,-93.73,과매도,6.27,15.35,과매도하락
VIXY,1,48.26,65.39,35.49,17.13,39.56,90.08,51.13,49.66,79.98,매수 (5:2:2),50.03,중립,-0.87,약매도,52.66,중립,0.53,중립,39.09,상승추세,-87.25,과매도,12.75,33.62,과매도하락
TQQQ,171,48.94,50.82,3.85,1.88,35.00,93.20,27.18,46.64,81.56,매도 (1:2:6),54.88,중립,0.93,약매수,50.50,중립,10.41,중립,34.69,하락추세,-14.07,과매수,85.93,64.54,과매수반전
QQQ,11,450.27,463.06,2.84,12.79,402.39,540.00,44.09,429.91,512.48,매도 (1:1:7),64.61,중립,2.75,약매수,53.58,중립,45.59,중립,31.13,하락추세,-7.29,과매수,92.71,75.66,과매수반전
